"","BandNmbr","Date_utilized","SamplePos","Lattitude","Longitude","Basal_Area","Canopy","Litter","Herbac","Shrub","Tree","Bare_ground","Other","Density","Comments","Date_collected","image","SampPos"
"1",171368602,"1/8/2016","MCP",30.8314716735,-93.3688667467,6,36,100,0,0,0,0,0,32,NA,"4/5/2016","",NA
"2",171368602,"1/8/2016","MCP",30.8315766965,-93.368786707,4,34,100,0,0,0,0,0,40,NA,"4/5/2016","Set Image",NA
"3",171368602,"1/8/2016","MCP",30.8316716804,-93.3686816662,6,37,100,0,0,0,0,0,40,NA,"4/5/2016","Set Image",NA
"4",171368602,"1/8/2016","MCP",30.8317600232,-93.3685782442,4,33,100,0,0,0,0,0,40,NA,"4/5/2016","Set Image",NA
"5",171368602,"1/8/2016","MCP",30.8316699815,-93.3685699704,2,37,100,0,0,0,0,0,37,NA,"4/5/2016","20160405_7.jpg",NA
"6",171368602,"1/8/2016","MCP",30.8315715998,-93.3686465926,6,37,100,0,0,0,0,0,40,NA,"4/5/2016","Set Image",NA
"7",171368602,"1/8/2016","MCP",30.8314699746,-93.3687715984,6,37,100,0,0,0,0,0,40,NA,"4/5/2016","Set Image",NA
"8",171368602,"1/8/2016","MCP",30.8314733724,-93.3686550463,7,37,100,0,0,0,0,0,40,NA,"4/5/2016","Set Image",NA
"9",171368602,"1/8/2016","MCP",30.8314750713,-93.3685683516,2,29,100,0,0,0,0,0,40,NA,"4/5/2016","Set Image",NA
"10",171368602,"1/8/2016","MCP",30.831413293,-93.3685667329,4,35,100,0,0,0,0,0,17,NA,"4/5/2016","20160405_9.jpg",NA
"11",171368602,"1/8/2016","MCP",30.8313867283,-93.3686683562,6,32,100,0,0,0,0,0,0,NA,"4/5/2016","20160405_10.jpg",NA
"12",171368602,"1/8/2016","MCP",30.8313916706,-93.3687649434,4,22,100,0,0,0,0,0,10,NA,"4/5/2016","20160405_11.jpg",NA
"13",171368602,"1/8/2016","MCP",30.8312949874,-93.36867663,4,16,100,0,0,0,0,0,3,NA,"4/5/2016","20160405_12.jpg",NA
"14",171368602,"1/8/2016","MCP",30.8312917441,-93.3685633154,4,32,100,0,0,0,0,0,7,NA,"4/5/2016","20160405_13.jpg",NA
"15",171368602,"1/8/2016","MCP",30.8312183822,-93.3685600779,5,28,100,0,0,0,0,0,5,NA,"4/5/2016","20160405_14.jpg",NA
"16",171368602,"1/8/2016","BUF",30.8309300309,-93.3685066581,1,33,100,0,0,0,0,0,40,NA,"3/31/2016","Set Image",NA
"17",171368602,"1/8/2016","BUF",30.831003393,-93.3683899261,1,17,70,0,0,0,0,0,40,NA,"3/31/2016","20160331_81.jpg",NA
"18",171368602,"1/8/2016","BUF",30.8310233166,-93.368481657,2,34,100,0,0,0,0,0,40,NA,"3/31/2016","20160331_82.jpg",NA
"19",171368602,"1/8/2016","BUF",30.8310267144,-93.368598389,3,33,100,0,0,0,0,0,25,NA,"3/31/2016","20160331_83.jpg",NA
"20",171368602,"1/8/2016","BUF",30.8310049374,-93.36868994,1,17,100,0,0,0,0,0,7,NA,"3/31/2016","20160331_84.jpg",NA
"21",171368602,"1/8/2016","BUF",30.8315632597,-93.3685483867,8,35,100,0,0,0,0,0,40,NA,"4/5/2016","",NA
"22",171368602,"1/8/2016","BUF",30.8311216989,-93.3685449693,4,28,100,0,0,0,0,0,26,NA,"4/5/2016","20160405_15.jpg",NA
"23",171368602,"1/9/2016","MCP",30.831109961,-93.3691266507,4,23,100,0,0,0,0,0,0,NA,"4/5/2016","Set Image",NA
"24",171368602,"1/9/2016","MCP",30.8311050187,-93.3690333011,4,26,100,0,0,0,0,0,40,NA,"4/5/2016","Set Image",NA
"25",171368602,"1/9/2016","BUF",30.8309150496,-93.3692282741,1,20,100,0,0,0,0,0,0,NA,"3/31/2016","20160331_69.jpg",NA
