"","BandNmbr","Date_utilized","mean_BasalArea","sd_Basal_Area","mean_canopy_percentage","sd_canopy_percentage","mean_Litter","sd_Litter","mean_Herbac","sd_Herbac","mean_Shrub","sd_Shrub","mean_Tree","sd_Tree","mean_Bare_ground","sd_Bare_ground","mean_Other","sd_Other","mean_Density","sd_Density"
"1",171368602,"1/10/2016",2.14285714285714,1.42403460788702,76.1261261261261,19.670690026835,96.9047619047619,16.0012339826127,0,0,0,0,0,0,0,0,0,0,56.4285714285714,41.0351680564562
"2",171368602,"1/11/2016",2.27272727272727,1.38639024883974,74.3243243243243,21.9845663818242,100,0,0,0,0,0,0,0,0,0,0,0,79.4318181818182,31.9591612376324
"3",171368602,"1/12/2016",3.15789473684211,2.00729663131334,78.6628733997155,21.145177388169,100,0,0,0,0,0,0,0,0,0,0,0,49.0789473684211,39.880120067625
"4",171368602,"1/13/2016",3.05263157894737,2.14666884602701,78.6628733997155,21.6758841782283,100,0,0,0,0,0,0,0,0,0,0,0,60.2631578947368,40.3362149180873
"5",171368602,"1/14/2016",3.30434782608696,1.8199596051635,82.8437132784959,16.167180070639,100,0,0,0,0,0,0,0,0,0,0,0,42.2826086956522,40.8497318581821
"6",171368602,"1/15/2016",2.58074534161491,2.54085407707601,63.2533154272285,36.3616217808095,74.9068322981366,42.5164381801669,0.124223602484472,1.11106797707856,0,0,1.24223602484472,11.1106797707856,0,0,0,0,41.7546583850932,42.6567373786231
"7",171368602,"1/16/2016",2.61538461538462,1.65110685485642,74.5322245322245,20.5714287944018,100,0,0,0,0,0,0,0,0,0,0,0,55.8653846153846,41.1518062039342
"8",171368602,"1/17/2016",2.41509433962264,1.91586455945081,62.8250892401836,34.2643805988283,82.4528301886792,32.3832613681203,3.0188679245283,9.52424147199324,0,0,1.88679245283019,13.7360563948689,12.6415094339623,26.8651148830187,0,0,29.4339622641509,35.0365245872417
"9",171368602,"1/18/2016",2.32352941176471,1.4082137457269,66.2957074721781,22.6147363104179,79.4117647058823,35.5852520073669,8.97058823529412,25.5182469404977,0,0,0,0,11.6176470588235,25.0369602011523,0,0,25.7352941176471,32.3424468476442
"10",171368602,"1/19/2016",2.19148936170213,1.52712144490642,64.8648648648649,26.0090302422635,77.2340425531915,35.1674335305917,6.27659574468085,18.1918545170031,0,0,0.212765957446809,1.45864991497895,16.2765957446809,28.7316687325869,0,0,24.3085106382979,33.365165574601
"11",171368602,"1/21/2016",2.78787878787879,1.65373773157913,78.3783783783784,20.649603770184,98.3333333333333,9.57427107756338,0.303030303030303,1.74077655955698,0,0,0,0,1.36363636363636,7.8334945180064,0,0,45.1515151515151,42.0422935953496
"12",171368602,"1/22/2016",3.3,2.50705426764508,66.4127764127764,29.1767408112907,81.4090909090909,32.4329358745273,3.36363636363636,12.7450132523405,0.227272727272727,2.38365647311398,1.45454545454545,10.6518175764233,12.6363636363636,26.7738497890592,0,0,25.0909090909091,32.2990031528925
"13",171368602,"1/23/2016",2.2972972972973,1.39173881778764,66.9101533966399,27.2394460671626,85.1351351351351,29.5213314233794,9.86486486486486,27.5249000020004,0,0,0,0,5,12.3603308118261,0,0,26.4189189189189,32.9801104862868
"14",171368602,"1/24/2016",2.32,1.18039541397505,69.945945945946,20.1244000647088,88.4,27.6028380183391,9.4,27.6254713383621,0,0,0,0,2.2,5.78791845139511,0,0,32.4,34.7122096674931
"15",171368602,"1/25/2016",2.02702702702703,1.40409097692118,59.4594594594595,31.0320804498195,79.5945945945946,34.0216103376952,3.78378378378378,11.0808521912931,0,0,0,0,16.6216216216216,30.4606771568337,0,0,26.4189189189189,33.7244787278538
"16",171368602,"1/8/2016",4.09090909090909,2.02152914561727,83.4152334152334,18.5437231481165,98.6363636363636,6.39602149066831,0,0,0,0,0,0,0,0,0,0,69.2045454545455,38.4087226858038
"17",171368602,"1/9/2016",2.74074074074074,1.97274881617957,75.7757757757758,21.2610459209724,100,0,0,0,0,0,0,0,0,0,0,0,64.0740740740741,39.8141605326218
"18",171368606,"1/10/2016",2.40909090909091,1.90990242492314,60.1965601965602,29.1111375690892,83.9393939393939,28.579865502154,0.303030303030303,1.74077655955698,0,0,0,0,0,0,0,0,29.3939393939394,26.4724968055756
"19",171368606,"1/11/2016",1.7,0.849148179989186,60.1351351351351,24.6754334018915,87.75,21.9134061346257,0.5,2.23606797749979,0,0,0,0,0,0,0,0,33.625,24.474409298823
"20",171368606,"1/28/2016",4.1,1.28668393770792,83.5135135135135,9.82353843137584,90,31.6227766016838,0,0,0,0,0,0,0,0,0,0,54,34.5647540454467
"21",171368606,"1/8/2016",3,0,86.4864864864865,7.64439763444917,100,0,0,0,0,0,0,0,0,0,0,0,71.25,40.6586399182265
"22",171368606,"1/9/2016",3.96551724137931,1.52321930277126,78.8443616029823,10.2933333181694,93.1034482758621,25.7880714777564,0,0,0,0,0,0,0,0,0,0,46.0344827586207,36.2624193096268
"23",171368610,"1/26/2016",3.80555555555556,1.66690139192192,65.4654654654655,20.9361371594498,93.5416666666667,14.8806874557236,4.44444444444444,8.53969833040576,0.0694444444444444,0.58925565098879,0,0,0,0,0,0,15.8680555555556,23.7510552850142
"24",171368610,"1/27/2016",7.65217391304348,20.1553257019131,73.3254994124559,17.253944978543,90.3478260869565,28.5173132351243,0,0,0,0,4.34782608695652,20.8514414057075,1.08695652173913,5.21286035142687,0,0,45.3260869565217,34.8886568879721
"25",171368610,"1/28/2016",5.58064516129032,12.2829328306071,78.5963382737576,16.0775222870743,87.9516129032258,29.534324248767,1.69354838709677,9.05101879905787,0,0,3.2258064516129,17.8127043949975,0.403225806451613,3.17500317500476,3.54838709677419,16.3061664081312,41.6129032258064,32.5617218896162
"26",171368611,"1/26/2016",5.71875,2.26095005723044,56.1655405405405,24.0440539835429,92.1875,24.4268988432174,1.5625,3.46351955991813,0,0,0,0,0,0,0,0,50.78125,36.1026621974327
"27",171368611,"1/27/2016",4.4,2.47191116903221,48.6486486486486,32.2611194663707,80.1666666666667,36.9641796163887,6.33333333333333,16.3440030831375,0,0,0.5,2.73861278752583,6.33333333333333,20.8000884171419,0,0,42.1666666666667,37.1665249211255
"28",171368611,"1/28/2016",4.06382978723404,2.51434368062738,48.821161587119,34.4062710427072,80.9574468085106,34.8699181722513,4.57446808510638,13.3037174942735,0.425531914893617,2.91729982995789,0.425531914893617,2.29123738025001,9.46808510638298,25.4360673948301,0,0,41.6489361702128,36.0150806114933
"29",171368616,"1/28/2016",4.07692307692308,2.18948536278418,83.3679833679834,13.5392685962944,95,18.3847763108502,1.15384615384615,5.88348405414552,0,0,0,0,10.7692307692308,29.2469590792721,0,0,49.9038461538462,36.8339569502841
"30",171368616,"1/29/2016",4.4390243902439,2.10414805191798,85.1680949241925,13.9014841110304,81.8292682926829,33.2369541617643,1.82926829268293,6.86987059202861,0,0,0,0,22.9268292682927,38.1768190423865,0,0,47.6829268292683,38.4073163761739
"31",171368616,"1/30/2016",4.16666666666667,2.31096943081144,83.6711711711712,13.583348733909,95.8333333333333,18.3958092265997,0,0,0,0,0,0,15.4166666666667,34.1326270873494,0,0,43.3333333333333,36.7990036096994
