,BandNmbr,Date_utilized,SampPos,Lattitude,Longitude,Basal_Area,Canopy,Litter,Herbac,Shrub,Tree,Bare_ground,Other,Density,Comments,Date_collected,image,MCP_ID
1,171368610,1/26/2016,MCP,30.82268995,-93.38128836,3,13,100,0,0,0,0,0,2,NA,10/4/2008,20081004_12.jpg,171368610_Jan26_MCP
2,171368610,1/26/2016,MCP,30.8230483,-93.38100004,4,29,100,0,0,0,0,0,0,NA,3/21/2016,,171368610_Jan26_MCP
3,171368610,1/26/2016,MCP,30.8229567,-93.38098835,3,23,100,0,0,0,0,0,20,NA,3/21/2016,20160321_6.jpg,171368610_Jan26_MCP
4,171368610,1/26/2016,MCP,30.82295006,-93.38111174,3,11,90,10,0,0,0,0,5,NA,3/21/2016,20160321_7.jpg,171368610_Jan26_MCP
5,171368610,1/26/2016,MCP,30.82286665,-93.38109825,5,14,100,0,0,0,0,0,1,NA,3/21/2016,20160321_8.jpg,171368610_Jan26_MCP
6,171368610,1/26/2016,MCP,30.82286835,-93.38100328,4,22,85,15,0,0,0,0,0,NA,3/21/2016,20160321_9.jpg,171368610_Jan26_MCP
7,171368610,1/26/2016,MCP,30.82278664,-93.38112001,5,34,95,5,0,0,0,0,6,NA,3/21/2016,20160321_10.jpg,171368610_Jan26_MCP
8,171368610,1/26/2016,MCP,30.82278664,-93.38100328,5,17,100,0,0,0,0,0,5,NA,3/21/2016,,171368610_Jan26_MCP
9,171368610,1/26/2016,MCP,30.82268671,-93.38097828,0,0,0,0,0,0,0,0,0,NA,3/21/2016,Set Image,171368610_Jan26_MCP
10,171368610,1/26/2016,MCP,30.82268841,-93.38100166,3,17,60,40,0,0,0,0,0,NA,3/21/2016,20160321_12.jpg,171368610_Jan26_MCP
11,171368610,1/26/2016,MCP,30.82268501,-93.38111174,5,26,100,0,0,0,0,0,3,NA,3/21/2016,20160321_13.jpg,171368610_Jan26_MCP
12,171368610,1/26/2016,MCP,30.82259172,-93.38100166,5,32,100,0,0,0,0,0,0,NA,3/21/2016,20160321_14.jpg,171368610_Jan26_MCP
