BandNmbr,Date_utilized,SamplePos,Lattitude,Longitude,Basal_Area,Canopy,Litter,Herbac,Shrub,Tree,Bare_ground,Other,Density,Comments,Date_collected,image
171368606,1/28/2016,BUF,30.82799504,-93.36799494,3,26,100,0,0,0,0,0,14,,3/14/2016,20160314.jpg
171368606,1/28/2016,BUF,30.8279816,-93.36820664,4,28,100,0,0,0,0,0,6,,3/14/2016,20160314_2.jpg
171368606,1/28/2016,BUF,30.82807674,-93.36820826,5,34,100,0,0,0,0,0,20,,3/14/2016,20160314_5.jpg
171368606,1/28/2016,BUF,30.82808338,-93.36810826,7,28,100,0,0,0,0,0,18,,3/14/2016,20160314_6.jpg
171368606,1/28/2016,BUF,30.82817837,-93.36788325,3,34,100,0,0,0,0,0,14,,3/14/2016,20160314_9.jpg
171368606,1/28/2016,BUF,30.82817003,-93.36811671,4,34,100,0,0,0,0,0,39,,3/14/2016,20160314_10.jpg
171368606,1/28/2016,BUF,30.82826996,-93.36809675,3,29,100,0,0,0,0,0,32,,3/14/2016,20160314_14.jpg
171368606,1/28/2016,BUF,30.82825498,-93.36799494,5,28,100,0,0,0,0,0,33,,3/14/2016,20160314_15.jpg
171368606,1/28/2016,BUF,30.8282783,-93.36779493,4,37,100,0,0,0,0,0,40,,3/14/2016,20160314_16.jpg
171368606,1/28/2016,BUF,30.82836001,-93.36790339,3,31,0,0,0,0,0,0,0,,3/14/2016,20160314_17.jpg
